asset_id,attribute_count,attribute_count_rarity_score,Eyes_attribute,Eyes_rarity_score,Headwear_attribute,Headwear_rarity_score,Body_attribute,Body_rarity_score,Feathers_attribute,Feathers_rarity_score,Background_attribute,Background_rarity_score,Beak_attribute,Beak_rarity_score,Outerwear_attribute,Outerwear_rarity_score,Eyewear_attribute,Eyewear_rarity_score,overall_rarity_score
0,6,1.51285930408472,Angry,7.326007326007326,,3.3795201081446433,Tabby,8.695652173913043,Gray,8.16326530612245,Green,5.73394495412844,Small,2.372479240806643,Hoodie Down,33.898305084745765,,1.2195121951219512,72.30154569307498
1,6,1.51285930408472,Rainbow,53.475935828877,,3.3795201081446433,Tabby,8.695652173913043,Red,5.4288816503800215,Pink,6.218905472636816,Short,2.4102193299590264,Jean Jacket,52.35602094240838,,1.2195121951219512,134.69750700552558
2,6,1.51285930408472,Side-eye,8.257638315441783,Skully,28.011204481792713,Stark,7.042253521126761,Blue,9.40733772342427,Purple,6.038647342995169,Small,2.372479240806643,,1.2032246420406691,,1.2195121951219512,65.06515676683468
3,6,1.51285930408472,Angry,7.326007326007326,,3.3795201081446433,Professor,18.181818181818183,White,11.299435028248588,Yellow,5.991611743559018,Long,6.203473945409429,,1.2032246420406691,Eyepatch,49.75124378109453,104.8491940604071
4,6,1.51285930408472,Angry,7.326007326007326,Backwards Hat,42.37288135593221,Stark,7.042253521126761,White,11.299435028248588,Blue,6.112469437652812,Long,6.203473945409429,,1.2032246420406691,,1.2195121951219512,84.29211675562445
5,5,4.861448711716092,Side-eye,8.257638315441783,,3.3795201081446433,Brave,14.388489208633093,Purple,8.912655971479502,Yellow,5.991611743559018,Long,6.203473945409429,,1.2032246420406691,,1.2195121951219512,54.41757484154618
6,6,1.51285930408472,Discerning,7.942811755361397,Lincoln,37.87878787878788,Crescent,2.826455624646693,Black,9.057971014492754,Purple,6.038647342995169,Short,2.4102193299590264,,1.2032246420406691,,1.2195121951219512,70.09048908749025
7,7,7.917656373713381,Discerning,7.942811755361397,Moon Hat,26.109660574412533,Crescent,2.826455624646693,Gray,8.16326530612245,Pink,6.218905472636816,Short,2.4102193299590264,Punk Jacket,34.84320557491289,,1.2195121951219512,97.65169220688713
8,6,1.51285930408472,,7.8125,Mohawk (Green),49.01960784313725,Tranquil,10.111223458038422,Blue,9.40733772342427,Blue,6.112469437652812,Short,2.4102193299590264,,1.2032246420406691,Gazelles,58.47953216374269,146.06897390207985
9,6,1.51285930408472,,7.8125,Moon Hat,26.109660574412533,Crescent,2.826455624646693,Red,5.4288816503800215,Purple,6.038647342995169,Small,2.372479240806643,,1.2032246420406691,Jobs Glasses,53.475935828877,106.78064420824344
10,6,1.51285930408472,Side-eye,8.257638315441783,Backwards Hat,42.37288135593221,Crescent,2.826455624646693,Blue,9.40733772342427,Green,5.73394495412844,Long,6.203473945409429,,1.2032246420406691,,1.2195121951219512,78.73732806023015
